Id;From;To
113514;24.10.2018 12:30:00;24.10.2018 13:00:00
113441;14.10.2018 12:30:00;14.10.2018 14:00:00
113402;06.10.2018 18:30:00;06.10.2018 19:30:00
113457;09.10.2018 08:30:00;09.10.2018 10:30:00
113536;13.10.2018 09:00:00;13.10.2018 10:00:00
113460;22.10.2018 13:00:00;22.10.2018 14:00:00
113507;01.10.2018 12:00:00;01.10.2018 13:00:00
113540;29.10.2018 15:00:00;29.10.2018 15:30:00
113519;13.10.2018 10:30:00;13.10.2018 12:30:00
113431;12.10.2018 17:30:00;12.10.2018 18:00:00
113457;03.10.2018 10:00:00;03.10.2018 11:00:00
113481;28.10.2018 14:30:00;28.10.2018 16:30:00
113435;28.10.2018 17:00:00;28.10.2018 18:00:00
113523;04.10.2018 14:30:00;04.10.2018 15:30:00
113464;10.10.2018 16:00:00;10.10.2018 16:30:00
113447;13.10.2018 14:30:00;13.10.2018 16:00:00
113490;15.10.2018 14:30:00;15.10.2018 15:30:00
113544;15.10.2018 11:30:00;15.10.2018 12:00:00
113404;22.10.2018 16:30:00;22.10.2018 18:30:00
113428;12.10.2018 13:00:00;12.10.2018 13:30:00
113506;13.10.2018 16:30:00;13.10.2018 17:00:00
113458;29.10.2018 08:00:00;29.10.2018 10:00:00
113487;20.10.2018 12:00:00;20.10.2018 13:30:00
113474;01.10.2018 09:30:00;01.10.2018 11:00:00
113407;25.10.2018 17:30:00;25.10.2018 19:30:00
113423;08.10.2018 13:30:00;08.10.2018 15:30:00
113533;30.10.2018 13:00:00;30.10.2018 14:30:00
113453;07.10.2018 14:30:00;07.10.2018 15:30:00
113501;28.10.2018 12:00:00;28.10.2018 14:00:00
113438;02.10.2018 13:30:00;02.10.2018 15:30:00
113404;12.10.2018 08:30:00;12.10.2018 09:30:00
113438;07.10.2018 09:00:00;07.10.2018 11:00:00
113429;10.10.2018 08:30:00;10.10.2018 10:00:00
113433;17.10.2018 15:30:00;17.10.2018 16:00:00
113418;19.10.2018 09:00:00;19.10.2018 10:00:00
113505;25.10.2018 18:00:00;25.10.2018 19:00:00
113442;08.10.2018 17:30:00;08.10.2018 18:30:00
113530;26.10.2018 11:00:00;26.10.2018 13:00:00
113483;14.10.2018 11:30:00;14.10.2018 12:00:00
113511;26.10.2018 15:30:00;26.10.2018 17:00:00
113545;19.10.2018 11:30:00;19.10.2018 13:30:00
113503;08.10.2018 13:00:00;08.10.2018 13:30:00
113435;14.10.2018 16:30:00;14.10.2018 18:30:00
113538;23.10.2018 18:30:00;23.10.2018 19:30:00
113423;03.10.2018 15:30:00;03.10.2018 17:30:00
113452;10.10.2018 10:30:00;10.10.2018 11:30:00
113522;19.10.2018 18:30:00;19.10.2018 19:30:00
113461;20.10.2018 18:30:00;20.10.2018 20:00:00
113475;19.10.2018 09:00:00;19.10.2018 11:00:00
113462;19.10.2018 15:30:00;19.10.2018 17:30:00
113489;11.10.2018 12:30:00;11.10.2018 13:30:00
113421;30.10.2018 10:30:00;30.10.2018 11:30:00
113459;11.10.2018 12:30:00;11.10.2018 14:00:00
113449;02.10.2018 13:00:00;02.10.2018 13:30:00
113500;01.10.2018 11:30:00;01.10.2018 13:30:00
113519;25.10.2018 16:00:00;25.10.2018 17:30:00
113428;24.10.2018 10:00:00;24.10.2018 10:30:00
113506;06.10.2018 18:00:00;06.10.2018 19:30:00
113421;14.10.2018 14:00:00;14.10.2018 15:00:00
113427;06.10.2018 10:00:00;06.10.2018 11:00:00
113449;22.10.2018 16:30:00;22.10.2018 17:00:00
113402;25.10.2018 11:30:00;25.10.2018 13:00:00
113419;02.10.2018 08:00:00;02.10.2018 09:00:00
113457;12.10.2018 18:00:00;12.10.2018 20:00:00
113523;01.10.2018 13:30:00;01.10.2018 14:30:00
113445;27.10.2018 16:00:00;27.10.2018 17:30:00
113510;18.10.2018 15:30:00;18.10.2018 16:30:00
113427;12.10.2018 10:30:00;12.10.2018 11:30:00
113492;16.10.2018 17:30:00;16.10.2018 19:00:00
113490;16.10.2018 08:00:00;16.10.2018 09:30:00
113402;05.10.2018 10:00:00;05.10.2018 10:30:00
113442;19.10.2018 08:00:00;19.10.2018 09:30:00
113407;02.10.2018 15:00:00;02.10.2018 15:30:00
